tweet_id,favorite_count,retweet_count
892420643555336193,38298,8398
892177421306343426,32820,6196
891815181378084864,24716,4100
891689557279858688,41625,8528
891327558926688256,39789,9244
891087950875897856,19982,3075
890971913173991426,11696,2041
890729181411237888,64631,18636
890609185150312448,27463,4215
890240255349198849,31515,7290
890006608113172480,30278,7239
889880896479866881,27438,4914
889665388333682689,47521,9931
889638837579907072,26829,4486
889531135344209921,14912,2212
889278841981685760,24932,5315
888917238123831296,28716,4442
888804989199671297,25240,4244
888554962724278272,19604,3508
888078434458587136,21480,3452
887705289381826560,29789,5321
887517139158093824,45682,11516
887473957103951883,68235,17956
887343217045368832,33255,10274
887101392804085760,30171,5890
886983233522544640,34712,7678
886736880519319552,11899,3246
886680336477933568,22148,4407
886366144734445568,20921,3162
886267009285017600,116,4
886258384151887873,27645,6205
886054160059072513,0,105
885984800019947520,32279,6720
885528943205470208,35535,6348
885518971528720385,20175,3709
885311592912609280,0,18368
885167619883638784,21665,4330
884925521741709313,76538,18095
884876753390489601,27581,5597
884562892145688576,24017,4698
884441805382717440,26668,5586
884247878851493888,72151,20220
884162670584377345,20118,2950
883838122936631299,21638,3408
883482846933004288,45376,9831
883360690899218434,22306,3636
883117836046086144,36747,6600
882992080364220416,23672,3873
882762694511734784,27971,4861
882627270321602560,27573,6020
882268110199369728,44422,11464
882045870035918850,28994,4916
881906580714921986,24025,3358
881666595344535552,49967,10543
881633300179243008,125,7
881536004380872706,48857,15778
881268444196462592,22815,5111
880935762899988482,16813,2754
880872448815771648,21022,3777
880465832366813184,28202,6209
880221127280381952,26747,4171
880095782870896641,27325,4312
879862464715927552,22070,3462
879674319642796034,309,10
879492040517615616,23152,3154
879415818425184262,104672,43761
879376492567855104,16589,3092
879130579576475649,0,6763
879050749262655488,22323,4677
879008229531029506,18774,2669
878776093423087618,19192,4088
878604707211726852,29930,7128
878404777348136964,0,1280
878316110768087041,0,6594
878281511006478336,7660,1280
878057613040115712,41563,6763
877736472329191424,78857,18914
877611172832227328,0,80
877556246731214848,22462,3775
877316821321428993,27067,5131
877201837425926144,26810,5536
876838120628539392,20437,3316
876537666061221889,23229,4589
876484053909872640,18551,2378
876120275196170240,27612,4657
875747767867523072,24930,4263
875144289856114688,21697,4896
875097192612077568,27133,6008
875021211251597312,25206,4685
874680097055178752,27547,4614
874434818259525634,0,14659
874296783580663808,25813,4086
874057562936811520,22440,3937
874012996292530176,34289,10377
873580283840344065,24002,3933
873337748698140672,0,1583
873213775632977920,7174,1583
872967104147763200,27142,5391
872820683541237760,14596,3688
872620804844003328,20616,3690
872486979161796608,40367,8994
872261713294495745,33956,6309
872122724285648897,34208,8113
871879754684805121,37766,11180
871762521631449091,20151,3475
871515927908634625,20094,3453
871166179821445120,0,5707
871102520638267392,20804,5510
871032628920680449,22538,3822
870804317367881728,33453,6224
870726314365509632,119,3
870656317836468226,12362,2656
870374049280663552,82378,26312
870308999962521604,21743,4169
870063196459192321,36558,8392
869772420881756160,42302,10083
869702957897576449,28182,6376
869596645499047938,15940,3146
869227993411051520,20403,3809
868880397819494401,65612,14610
868639477480148993,0,2113
868622495443632128,26872,5486
868552278524837888,10142,2113
867900495410671616,24192,4215
867774946302451713,34037,7410
867421006826221569,16139,2535
867072653475098625,0,123
867051520902168576,32316,7954
866720684873056260,20142,4869
866686824827068416,19387,3531
866450705531457537,122689,35735
866334964761202691,52802,14659
866094527597207552,0,8493
865718153858494464,25744,5696
865359393868664832,26615,5075
865006731092295680,28172,7805
864873206498414592,32487,8859
864279568663928832,14723,3090
864197398364647424,30373,9102
863907417377173506,20779,4217
863553081350529029,15418,4250
863471782782697472,0,2507
863432100342583297,24005,5366
863427515083354112,2281,99
863079547188785154,8839,1120
863062471531167744,8607,2507
862831371563274240,19346,5186
862722525377298433,17227,3599
862457590147678208,20757,5060
862096992088072192,75352,23811
861383897657036800,36456,10934
861288531465048066,17379,4251
861005113778896900,16907,3890
860981674716409858,0,2214
860924035999428608,0,843
860563773140209665,7594,2214
860524505164394496,23919,5401
860276583193509888,18529,3562
860184849394610176,16904,5981
860177593139703809,0,31661
859924526012018688,19805,4203
859851578198683649,15602,3603
859607811541651456,18841,1614
859196978902773760,91284,31069
859074603037188101,34387,13986
858860390427611136,0,8382
858843525470990336,15764,3576
858471635011153920,21833,4997
858107933456039936,15974,3005
857989990357356544,16382,2663
857746408056729600,34861,10978
857393404942143489,6015,1695
857263160327368704,20367,4672
857214891891077121,233,18
857062103051644929,0,177
857029823797047296,19287,4142
856602993587888130,0,11075
856543823941562368,16582,2983
856526610513747968,12071,1944
856330835276025856,0,702
856288084350160898,525,17
856282028240666624,28292,6553
855862651834028034,354,28
855860136149123072,5157,1073
855857698524602368,12101,2196
855851453814013952,46384,18389
855818117272018944,27175,5644
855459453768019968,30611,8550
855245323840757760,0,6228
855138241867124737,0,48
854732716440526848,23414,6375
854482394044301312,30077,7180
854365224396361728,19379,4896
854120357044912130,32814,7826
854010172552949760,16636,3303
853760880890318849,29387,6075
853639147608842240,35881,10625
853299958564483072,15976,3744
852936405516943360,0,2113
852912242202992640,9338,1933
852672615818899456,15381,2268
852553447878664193,16893,3702
852311364735569921,34194,10412
852226086759018497,20657,7162
852189679701164033,11837,1668
851953902622658560,0,10166
851861385021730816,0,23
851591660324737024,16744,3659
851464819735769094,25125,7471
851224888060895234,21405,6044
850753642995093505,32131,9818
850380195714523136,13529,2769
850333567704068097,3554,354
850145622816686080,16931,4051
850019790995546112,21218,5187
849776966551130114,31620,8047
849668094696017920,0,5255
849412302885593088,16485,3331
849336543269576704,11865,1999
849051919805034497,44141,9051
848690551926992896,26205,4583
848324959059550208,25745,4889
848213670039564288,8498,793
848212111729840128,16987,3269
847978865427394560,0,3461
847971574464610304,0,458
847962785489326080,24473,5427
847842811428974592,5708,1429
847617282490613760,7296,451
847606175596138505,19559,3612
847251039262605312,21312,4570
847157206088847362,20827,6236
847116187444137987,22339,3400
846874817362120707,20963,4184
846514051647705089,46627,12392
846505985330044928,14756,3298
846153765933735936,33123,9675
846139713627017216,32240,10526
846042936437604353,16703,3089
845812042753855489,30647,9342
845677943972139009,26247,5109
845397057150107648,7981,1938
845306882940190720,24395,5765
845098359547420673,0,8199
844979544864018432,14258,2763
844973813909606400,15817,3439
844704788403113984,40531,11075
844580511645339650,17250,3370
844223788422217728,14278,2350
843981021012017153,15837,3129
843856843873095681,22428,4957
843604394117681152,17701,2949
843235543001513987,22508,6490
842846295480000512,15950,3854
842765311967449089,7079,1365
842535590457499648,18984,3759
842163532590374912,25695,6228
842115215311396866,14704,3252
841833993020538882,0,16492
841680585030541313,26908,8320
841439858740625411,13266,3940
841320156043304961,20741,5833
841314665196081154,16634,5042
841077006473256960,24058,5707
840761248237133825,0,1889
840728873075638272,0,17434
840698636975636481,190,2
840696689258311684,12926,1056
840632337062862849,9425,1889
840370681858686976,17306,4898
840268004936019968,20281,6172
839990271299457024,14133,2472
839549326359670784,28965,8382
839290600511926273,0,154
839239871831150596,28629,7048
838952994649550848,20661,4281
838921590096166913,11768,2235
